zip,city,province,district,lon,lat
20940,Medamahanuwara,Central Province,Kandy,7.3,80.85
20945,Mahadoraliyadda,Central Province,Kandy,7.3,80.85
20948,Hunnasgiriya,Central Province,Kandy,7.3,80.85
20950,Ududumbara,Central Province,Kandy,7.3076,80.887
20960,Hasalaka,Central Province,Kandy,7.2879,80.9616
20965,Ulpothagama,Central Province,Kandy,7.1592,80.9898
20966,Batumulla,Central Province,Kandy,7.4167,80.9333
20967,Barawardhana Oya,Central Province,Kandy,7.2879,80.9616
20971,Kolongoda,Central Province,Kandy,7.3076,80.887
20982,Weragantota,Central Province,Kandy,7.3167,80.9833
20983,Minipe,Central Province,Kandy,7.2182,80.9775
20984,Handaganawa,Central Province,Kandy,7.2833,80.9833
20986,Ambagahapelessa,Central Province,Kandy,7.2197,80.9958
20990,Rantembe,Central Province,Kandy,7.3076,80.887
21000,Matale,Central Province,Matale,7.4698,80.6217
21004,Alwatta,Central Province,Matale,7.4432,80.662
21006,Udatenna,Central Province,Matale,7.4167,80.65
21008,Leliambe,Central Province,Matale,7.4324,80.6501
21009,Wehigala,Central Province,Matale,7.4,80.6667
21012,Elkaduwa,Central Province,Matale,7.4145,80.6825
21014,Karagahinna,Central Province,Matale,7.3601,80.382
21016,Katudeniya,Central Province,Matale,7.3058,80.0814
21020,Ovilikanda,Central Province,Matale,7.45,80.5667
21032,Dankanda,Central Province,Matale,7.5293,80.6989
21042,Kiwula,Central Province,Matale,7.5193,80.5657
21044,Muwandeniya,Central Province,Matale,7.5167,80.5333
21046,Dunkolawatta,Central Province,Matale,7.5193,80.5657
21048,Walawela,Central Province,Matale,7.5219,80.5981
21051,Udasgiriya,Central Province,Matale,7.5324,80.5774
21054,Dullewa,Central Province,Matale,7.508,80.6003
21055,Melipitiya,Central Province,Matale,7.5492,80.5874
21056,Yatawatta,Central Province,Matale,7.5649,80.5821
21058,Selagama,Central Province,Matale,7.5916,80.5899
21062,Metihakka,Central Province,Matale,7.5368,80.6582
21064,Imbulgolla,Central Province,Matale,7.5716,80.6707
21066,Kaikawala,Central Province,Matale,7.5072,80.6569
21068,Gammaduwa,Central Province,Matale,7.5686,80.6961
21070,Palapathwela,Central Province,Matale,7.6083,80.6595
21072,Kavudupelella,Central Province,Matale,7.5813,80.6267
21074,Madawala Ulpotha,Central Province,Matale,7.6083,80.6595
21076,Opalgala,Central Province,Matale,7.6353,80.6923
21082,Nalanda,Central Province,Matale,7.6606,80.6424
21090,Naula,Central Province,Matale,7.7047,80.6542
21094,Lenadora,Central Province,Matale,7.7519,80.6608
21100,Dambulla,Central Province,Matale,7.86,80.6517
21106,Kandalama,Central Province,Matale,7.8667,80.7167
21108,Erawula Junction,Central Province,Matale,7.8633,80.6842
21112,Kalundawa,Central Province,Matale,7.8,80.7167
21114,Wewalawewa,Central Province,Matale,7.8103,80.6669
21116,Talakiriyagama,Central Province,Matale,7.8206,80.6172
21120,Sigiriya,Central Province,Matale,7.9518,80.7426
21122,Kibissa,Central Province,Matale,7.9412,80.7252
21124,Inamaluwa,Central Province,Matale,7.9314,80.6845
21140,Mahawela,Central Province,Matale,7.5869,80.6072
21142,Akuramboda,Central Province,Matale,7.6467,80.6014
21144,Mananwatta,Central Province,Matale,7.6168,80.6043
21152,Pallepola,Central Province,Matale,7.6246,80.6006
21154,Millawana,Central Province,Matale,7.6503,80.5772
21156,Madipola,Central Province,Matale,7.6833,80.5833
21160,Wahacotte,Central Province,Matale,7.7142,80.5972
21200,Galewela,Central Province,Matale,7.7589,80.5683
21206,Dewahuwa,Central Province,Matale,7.7589,80.5683
21212,Bambaragaswewa,Central Province,Matale,7.7833,80.5333
21214,Beligamuwa,Central Province,Matale,7.7167,80.55
21300,Ukuwela,Central Province,Matale,7.4228,80.6167
21400,Rattota,Central Province,Matale,7.5205,80.6798
21402,Etanawala,Central Province,Matale,7.5205,80.6798
21404,Gangala Puwakpitiya,Central Province,Matale,7.5205,80.6798
21406,lllukkumbura,Central Province,Matale,7.5205,80.6798
21408,Welangahawatte,Central Province,Matale,7.5205,80.6798
21500,Kongahawela,Central Province,Matale,7.6742,80.7171
21502,Pubbiliya,Central Province,Matale,7.7333,80.7167
21504,Ambana,Central Province,Matale,7.6579,80.6909
21506,Talagoda Junction,Central Province,Matale,7.6885,80.7082
21512,Ataragallewa,Central Province,Matale,7.6622,80.7728
21514,Hattota Amuna,Central Province,Matale,7.6622,80.7728
21520,Laggala Pallegama,Central Province,Matale,7.6622,80.7728
21524,Ranamuregama,Central Province,Matale,7.6622,80.7728
21530,Wilgamuwa,Central Province,Matale,7.6622,80.7728
21532,Perakanatta,Central Province,Matale,7.6622,80.7728
21534,Nugagolla,Central Province,Matale,7.6622,80.7728
21536,Handungamuwa,Central Province,Matale,7.6622,80.7728
21538,Dunuwilapitiya,Central Province,Matale,7.6622,80.7728
21552,Devagiriya,Central Province,Matale,7.5833,80.9667
21554,Maraka,Central Province,Matale,7.5833,80.9667
20560,Kotmale,Central Province,Nuwara Eliya,7.0142,80.5897
20566,Maswela,Central Province,Nuwara Eliya,7.0667,80.6333
20567,Doragala,Central Province,Nuwara Eliya,7.071,80.5867
20568,Nayapana Janapadaya,Central Province,Nuwara Eliya,7.071,80.5867
20588,Katukitula,Central Province,Nuwara Eliya,7.0741,80.6584
20590,Ramboda,Central Province,Nuwara Eliya,7.0457,80.6876
20592,Labukele,Central Province,Nuwara Eliya,7.0457,80.6876
20660,Ketaboola,Central Province,Nuwara Eliya,7.0243,80.5504
20668,Hapugastalawa,Central Province,Nuwara Eliya,7.0621,80.5713
20669,Harangalagama,Central Province,Nuwara Eliya,7.0243,80.5504
20670,Nawathispane,Central Province,Nuwara Eliya,7.0359,80.5174
20678,Ambagamuwa Udabulathgama,Central Province,Nuwara Eliya,7.0359,80.5174
20680,Ginigathena,Central Province,Nuwara Eliya,6.9903,80.4877
20682,Pitawala,Central Province,Nuwara Eliya,6.9984,80.4513
20684,Dagampitiya,Central Province,Nuwara Eliya,6.9759,80.4738
20686,Ambatalawa,Central Province,Nuwara Eliya,6.9658,80.4958
20688,Kelanigama,Central Province,Nuwara Eliya,6.9826,80.4772
20750,Padiyapelella,Central Province,Nuwara Eliya,7.0877,80.8044
20752,Munwatta,Central Province,Nuwara Eliya,7.1174,80.8099
22000,Hatton,Central Province,Nuwara Eliya,6.8916,80.5955
